against  bertentangan 	 
music  musik  
song ; vocal  lagu  music 
rhythm ; beat ; musical rhythm 	 irama
voice ; vocalization ; vocalisation ; vocalism ; phonation ; vox 	 suara 	 


cry ; outcry ; call ; yell ; shout ; vociferation  seruan 	 
discussion ; give-and-take ; word  pembicaraan 	 
suggestion ; proposition ; proffer 	 saran 	 
order 	 perintah  

controversy ; contention ; contestation ; disputation ; disceptation ; tilt ; argument ; arguing  pertikaian
offer ; offering  tawaran  
request ; asking  permintaan  

question ; inquiry ; enquiry ; query ; interrogation 	 pertanyaan 
examination ; exam ; test  ujian 	 
yes  ya  
no  tidak 	 
protest ; protestation 	 protes 	 sports 
ad ; advertisement ; advertizement ; advertising ; advertizing ; advert 	 iklan  

marker ; marking ; mark 	 tanda 	 
experience 	 peristiwa  
wages ; reward ; payoff 	 imbalan  
fire 	 api  

movement ; motion 	 gerakan  
birth ; nativity ; nascency ; nascence  kelahiran  
cause 	 penyebab 
jolt ; jar ; jounce ; shock  sentakan  
wave ; moving ridge  ombak 	 
leap ; jump ; saltation 	 lompatan  
stop ; halt 	 perhentian 	 
thunder  guntur 	 
current ; stream 	 arus 	 
touch ; touching 	 sentuhan  
damage ; harm ; impairment  kerusakan  
outburst ; burst ; flare-up  ledakan  

contest ; competition  kompetisi  
match 	 pertandingan 	 sports  desire 	 keinginan  

pleasure ; pleasance  kesenangan 	 
surprise  kejutan  
daze ; shock ; stupor  shock 	 
fear ; fearfulness ; fright  ketakutan  

sorrow ; regret ; rue ; ruefulness 	 penyesalan 	 
love 	 cinta 	 

hate ; hatred  kebencian  
meal ; repast  makan 	 
soup 	 sop  
cake 	 kue
gelatin ; jelly  selai
meat 	 daging 	 

bread ; breadstuff ; staff of life 	 roti 	 
potato ; white potato ; Irish potato ; murphy ; spud ; tater  kentang  

apple 	 buah apel  
orange 	 jeruk 	 

rice 	 padi 	 cooking 
salt ; table salt ; common salt  garam 	 

milk  susu  
butter  mentega  
cheese  keju  
beverage ; drink ; drinkable ; potable  minuman  
wine ; vino 	 anggur 	 

milkshake ; milk shake ; shake 	 susu kocok 	 

dead 	 mati 	 
society  umat manusia 	 
family ; family unit  keluarga  
sex  jenis kelamin  biology 
package ; bundle ; packet ; parcel 	 bingkisan  
organization ; organisation  organisasi 	 
government ; authorities ; regime  pemerintah
company  perusahaan 	 

religion ; faith ; organized religion   agama
family 	 keluarga 	 

order ; monastic order 	 ordo
nation ; land ; country 	 bangsa
populace ; public ; world  rakyat 	 

army ; regular army ; ground forces 	 angkatan darat  

machine ; war machine  angkatan bersenjata 	 

dance band ; band ; dance orchestra  orkes  
table ; tabular array  tabel  
committee ; commission  komite  
system ; scheme  jaringan  
stream ; flow ; current  arus  
country ; state ; land  negeri
edge ; border  tepi  
end ; terminal  akhir  
field  ladang  

front ; front end ; forepart 	 depan 	 
position ; place 	 tempat

seaport ; haven ; harbor ; harbour 	 bandar 	 
seat ; place 	 bangunan  
side 	 sisi 	 

topographic point ; place ; spot  tempat 	 
town 	 kota kecil 	 
tendency ; trend 	 kecenderungan  

bit ; chip ; flake ; fleck ; scrap 	 sepotong  
cloud 	 awan
crack ; cleft ; crevice ; fissure ; scissure  retakan
Earth ; earth ; world ; globe 	 Bumi 	 
grain 	 butir 	 
hole 	 lubang 	 
island 	 pulau 	 

land ; dry land ; earth ; ground ; solid ground ; terra firma  daratan  

Moon ; moon 	 bulan 	 
mountain ; mount 	 gunung 	 
plain ; field ; champaign  dataran  

river 	 sungai 	 
rock ; stone 	 batu
scale ; scurf ; exfoliation  sisik 	 

sea  laut  
sky  langit  

spring ; fountain ; outflow ; outpouring ; natural spring 	 sumber 	 

star 	 bintang  
stretch  bentangan  
sun ; Sun  matahari  

expert 	 pakar 	 law 
baby ; babe ; infant  bayi 	 

beloved ; dear ; dearest ; honey ; love  sayang 	 
brother ; blood brother 	 saudara laki-laki 	 
cook 	 jurumasak  
daughter ; girl  anak perempuan  

director ; manager ; managing director  direktur
doorkeeper ; doorman ; door guard ; hall porter ; porter ; gatekeeper ; ostiary  penjaga pintu 	 

father ; male parent ; begetter  ayah 	 
friend 	 teman 	 

general ; full general 	 jenderal  
girl ; miss ; missy ; young lady ; young woman ; fille  nona 	 

judge ; justice ; jurist 	 hakim
lookout ; lookout man ; sentinel ; sentry ; watch ; spotter ; scout ; picket 	 tugas jaga  

male child ; boy 	 anak laki-laki  
man ; adult male 	 pria 	 
mother ; female parent 	 ibu ; bunda 	 
owner ; possessor 	 pemilik  
representative  perwakilan 	 

secretary ; secretarial assistant  sekretaris 	 
servant ; retainer 	 pelayan  
sister ; sis 	 saudara perempuan 	 
son ; boy  anak laki-laki  
usher ; guide  pemandu  
woman ; adult female  wanita 	 

consequence ; effect ; outcome ; result ; event ; issue ; upshot 	 efek 	 

reaction  reaksi 	 

beam ; beam of light ; light beam ; ray ; ray of light ; shaft ; shaft of light ; irradiation 	 sinar
current ; electric current  arus listrik 	 
death 	 kematian  biology 
light ; visible light ; visible radiation 	 sinar 	 physics  mist 	 kabut 	 
rain ; rainfall  hujan 	 
smoke ; fume 	 asap 	 
snow ; snowfall  salju 	 

weather ; weather condition ; conditions ; atmospheric condition 	 cuaca 	 

wind ; air current ; current of air 	 angin 	 
flower 	 bunga 	 
grass 	 rumput 	 
tree 	 pohon 	 
root 	 akar 	 

stalk ; stem 	 batang 	 
fruit 	 buah 	 biology  seed 	 biji 	 
nut  biji-bijian 	 
leaf ; leafage ; foliage 	 daun 	 
branch 	 cabang 	 computers 
property ; belongings ; holding  milik 	 

net income ; net ; net profit ; lucre ; profit ; profits ; earnings  laba 	 

present  hadiah  
payment  pembayaran  
tax ; taxation ; revenue enhancement 	 pajak 	 economy  interest  bunga 	 

rate ; charge per unit 	 tingkat  
right 	 hak  

asuransi  
credit 	 kredit 	 
money 	 uang 	 

change 	 uang kecil 	 

bill ; note ; government note ; bank bill ; banker's bill ; bank note ; banknote 
; Federal Reserve note ; greenback  uang kertas 	 
debt 	 utang 	 

development ; evolution 	 evolusi  
digestion  pencernaan 	 
fire ; flame ; flaming 	 api  

operation ; functioning ; performance  pelaksanaan 	 mathematics  number 	 nomor 	 
bit  bit  

degree 	 derajat  
square ; second power  pangkat  

footstep ; pace ; step ; stride  langkah  
drop ; drib ; driblet  tetesan  

part ; portion ; component part ; component ; constituent 	 bagian 	 

remainder ; balance ; residual ; residue ; residuum ; rest 	 sisa 	 

scale  skala  
direction  arah  mathematics 
north ; due north ; northward ; N  utara 	 logistics 
east ; due east ; eastward ; E 	 timur 	 logistics 
south ; due south ; southward ; S  selatan 	 logistics 
west ; due west ; westward ; W  barat  competition  peminat  
logistics 
reverse ; contrary ; opposite 	 lawan 	 finance 
curve ; curved shape  lengkung  
circle 	 lingkaran  

coil ; whorl ; roll ; curl ; curlicue ; ringlet ; gyre ; scroll 	 gulungan  

square ; foursquare  bujur sangkar  
angle 	 sudut 	 

fold ; crease ; plication ; flexure ; crimp ; bend  tikungan  

point ; dot 	 titik 	 
condition ; status 	 kondisi  
account ; business relationship  rekening  economy 
company ; companionship ; fellowship ; society 	 persahabatan 	 

acme ; height ; elevation ; peak ; pinnacle ; summit ; superlative ; meridian ; tiptop ; top 	 puncak 	 economics 
being ; beingness ; existence 	 keberadaan 	 biology  harmony ; concord ; concordance  harmoni  

peace 	 damai 	 
sleep ; slumber  tidur 	 
disease  penyakit  biology  cold ; common cold 	 selesma  disease  bite 	 luka gigitan 	 
wound ; lesion  luka 	 

sneeze ; sneezing ; sternutation  bersin 	 

pain ; hurting  nyeri 	 
cough ; coughing 	 batuk 	 
shame ; disgrace ; ignominy  tidak disukai  

dominance ; ascendance ; ascendence ; ascendancy ; ascendency ; control 	 wewenang  logistics 
comfort ; comfortableness  kenyamanan 	 
need ; demand  kebutuhan  economics  opportunity ; chance  kesempatan 	 
moisture ; wet  kelembaban 	 
danger 	 bahaya 	 
material ; stuff 	 bahan 	 
sponge 	 spons 	 
acid 	 asam 	 

metallic element ; metal  logam  
copper ; Cu ; atomic number 29  tembaga  
gold ; Au ; atomic number 79  emas  
iron ; Fe ; atomic number 26  besi  
lead ; Pb ; atomic number 82  timah  
silver ; Ag ; atomic number 47  perak  
tin ; Sn ; atomic number 50  timah  
paste  pasta  
brass  kuningan  
leather  kulit  

carbohydrate ; saccharide ; sugar  karbohidrat 	 
steel 	 baja 	 
chemical ; chemical substance 	 zat kimia  
coal 	 batubara  
cork 	 gabus 	 
dust 	 debu 	 

air  udara 	 
breath 	 napas 	 
earth ; ground  dunia 	 
water ; H2O 	 air  

waste ; waste material ; waste matter ; waste product 	 bahan sampah 	 

fat  lemak 	 

cotton ; cotton fiber ; cotton wool 	 kapas 	 
glass 	 kaca ; gelas 	 
ice ; water ice  es  cooking  ink  tinta 	 
liquid 	 cairan 	 
oil  minyak 	 
paper 	 kertas 	 

petroleum ; crude oil ; crude ; rock oil ; fossil oil ; oil 	 minyak tanah 	 

coloring material ; colouring material ; color ; colour  cat  

powder ; pulverization ; pulverisation  debu 	 

sand 	 pasir 	 

poison ; toxicant ; poisonous substance  racun 	 

steam 	 uap  
wax  malam 	 

wood 	 kayu 	 
wool 	 wol  

past ; past times ; yesteryear 	 masa lalu  
history  riwayat  

future ; hereafter ; futurity ; time to come  masa depan 	 
fourth dimension ; time 	 waktu 	 
week ; calendar week  minggu 	 

day ; twenty-four hours ; twenty-four hour period ; 24-hour interval ; solar day 
; mean solar day  hari 	 
tomorrow  masa depan 	 
yesterday  kemarin  

morning ; morn ; morning time ; forenoon 	 pagi 	 time  night ; nighttime ; dark 	 malam 	 time  year ; twelvemonth ; yr 	 tahun 	 
calendar month ; month 	 bulan 	 
hour ; hr ; 60 minutes 	 jam  
minute ; min 	 menit 	 
second ; sec ; s 	 detik 	 
fall ; autumn  musim gugur 	 
spring ; springtime  musim semi 	 
summer ; summertime  musim panas 	 
winter ; wintertime  musim dingin 	 

beginning ; commencement ; first ; outset ; get-go ; start ; kickoff ; starting 
time ; showtime ; offset 	 awal 	 
phase ; stage  tahap 	 time  cough 	 batuk 	 
smile 	 tersenyum  

laugh ; express joy ; express mirth 	 tertawa  
soap ; lather  menyabuni  
cry ; weep 	 menangis  
injure ; wound  melukai  
change ; alter ; modify 	 mengubah  
become ; go ; get 	 menjadi  
increase  meningkatkan 	 
wet  membasahi  

dry ; dry out  mengeringkan 	 
dry ; dry out  kering 	 

restrict ; restrain ; trammel ; limit ; bound ; confine ; throttle  membatasi  mathematics 
damage 	 merusak  
warm 	 menghangatkan  
burn ; fire ; burn down 	 bakar 	 
fix ; prepare ; set up ; ready ; gear up ; set 	 menyiapkan 	 

let  mengijinkan 	 

train ; develop ; prepare ; educate 	 melatih  
reason 	 mempertimbangkan 	 

measure ; mensurate ; measure out  mengukur  
classify ; class ; sort ; assort ; sort out ; separate  menganggap 	 genetics 
rate ; rank ; range ; order ; grade ; place  menilai  
estimate ; gauge ; approximate ; guess ; judge 	 menaksir  
doubt 	 meragukan  
surprise  mengejutkan 	 

request ; bespeak ; call for ; quest 	 meminta  
argue ; reason  mempertimbangkan 	 
call ; telephone ; call up ; phone ; ring 	 berseru  finance  confront ; face up ; face  menghadapi 	 
answer ; reply ; respond 	 menjawab  technology  introduce ; present ; acquaint 	 memperkenalkan  logistics  protest  protes 	 

shout ; shout out ; cry ; call ; yell ; scream ; holler ; hollo ; squall  berteriak  

talk ; speak ; utter ; mouth ; verbalize ; verbalise 	 berbicara  

number 	 menomori  

record ; tape  merekam  
state ; say ; tell 	 mengatakan 	 
name ; call 	 memberi nama 	 
mail ; post ; send 	 mengeposkan 	 
play 	 bermain  

contend ; fight ; struggle  berkelahi  

beat ; beat out ; crush ; shell ; trounce ; vanquish 	 menaklukkan 	 

open fire ; fire 	 melepaskan 	 

use ; utilize ; utilise ; apply ; employ 	 menggunakan 	 
drink ; imbibe  minum 	 

smoke 	 asap 	 

polish ; smooth ; smoothen ; shine 	 menggosok  
skin ; peel ; pare 	 mengupas  
join ; bring together  menggabungkan  

flush ; level ; even out ; even  menyamakan 	 
sew ; run up ; sew together ; stitch 	 menjahit  
glue ; paste 	 merekatkan 	 
close ; shut 	 dekat 	 
open ; open up  membuka  
lock 	 mengunci  
screw 	 memasang  
kick 	 menendang  

snog ; kiss ; buss ; osculate 	 mencium  
bite ; seize with teeth 	 gigit 	 
pull ; draw ; force  menghela  

put ; set ; place ; pose ; position ; lay 	 meletakkan 	 
wind ; wrap ; roll ; twine  menggulung 	 
function ; work ; operate ; go ; run 	 bekerja  
clean ; make clean 	 membersihkan 	 
wash ; launder  mencuci  
cut  potong ; kerat ; iris  
cushion ; buffer ; soften  menahan  logistics 
shroud ; enshroud ; hide ; cover  menyelimuti  
squash ; crush ; squelch ; mash ; squeeze  meremas  
comb  menyisir  
make ; create  menyebabkan  
produce ; make ; create  memproduksi  
design ; plan  merancang  
cook  masak  
imitate ; copy ; simulate  meniru  
print ; impress  mencetak  
feel ; experience  merasakan  
hate ; detest  membenci  
love  mengasihi  
like  menyukai  
fear  menyesal  
repent ; regret ; rue  menyesali  

shock ; offend ; scandalize ; scandalise ; appal ; appall ; outrage  mengejutkan  

hope 	 berharap  
desire ; want  menginginkan 	 
travel ; go ; move ; locomote 	 pergi 	 
come ; come up  datang 	 
move ; displace  menggerakkan 	 
pump 	 memompa  
stop ; halt 	 menghentikan 	 finance  brake 	 mengerem  


push ; force 	 mendorong  
walk 	 berjalan  
turn 	 memutar  
run  berlari  sports 
fly ; wing 	 terbang  

transport ; send ; ship 	 mengangkut 	 
swim 	 berenang  

jump ; leap ; bound ; spring 	 melompat  sports  fall 	 jatuh 	 

raise ; lift ; elevate ; get up ; bring up 	 menaikkan  
land ; set down  mendaratkan 	 

lead ; take ; direct ; conduct ; guide  memimpin  

smell  berbau  
smell  mencium bau  
see  melihat  

look 	 melihat  

look ; appear ; seem  tampaknya  

watch ; view ; see ; catch ; take in 	 melihat  
taste ; savor ; savour 	 mencicipi  

sugar ; saccharify 	 menggulai  
salt 	 menggarami 	 cooking  give 	 memberi  

have ; have got ; hold 	 mempunyai  
own ; have ; possess  memiliki  
trade ; merchandise  berdagang  

profit ; turn a profit 	 mendapat keuntungan  
offer 	 menawarkan 	 
act ; move 	 bertindak  logistics 
displace ; fire ; give notice ; can ; dismiss ; give the axe ; send away ; sack ; force out ; give the sack ; terminate 	 memecat  
free ; liberate ; release ; unloose ; unloosen ; loose  membebaskan 	 

control ; command 	 menguasai  

respect ; honor ; honour ; abide by ; observe  menghormati 	 
divide ; split ; split up ; separate ; dissever ; carve up 	 membagi  

try ; seek ; attempt ; essay ; assay  mencoba  
test ; prove ; try ; try out ; examine ; essay  menguji  
